Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,79.83968353271484,94.75,96.1875,90.75,96.1875,36345200
2000-01-04,74.3625717163086,88.25,93.5,87.9375,92.0,33786600
2000-01-05,72.46662139892578,86.0,89.625,84.25,87.5,42496600
2000-01-06,67.48979187011719,80.09375,88.0,79.75,86.875,37134800
2000-01-07,75.837158203125,90.0,90.0,82.5,82.9375,28138200
2000-01-10,77.94373321533203,92.5,93.9375,89.9375,91.0,29675600
2000-01-11,74.15190124511719,88.0,92.875,87.0,91.75,32546600
2000-01-12,72.51930236816406,86.0625,89.2421875,86.0,89.0,29050000
2000-01-13,76.89043426513672,91.25,91.5,87.078125,88.5,25165200
2000-01-14,78.6810531616211,93.375,93.625,92.0,93.0,21898600
2000-01-18,79.10240173339844,93.875,94.4375,91.4375,92.0625,16752400
2000-01-19,80.89295196533203,96.0,96.0,92.4296875,93.4921875,19006000
2000-01-20,80.10301971435547,95.0625,96.875,94.0078125,95.5,25958000
2000-01-21,81.10363006591797,96.25,96.5625,95.0625,96.5,18698200
2000-01-24,77.20645141601562,91.625,97.625,90.96875,97.4375,28340400
2000-01-25,78.36502075195312,93.0,94.1171875,89.40625,91.875,33276200
2000-01-26,75.20516967773438,89.25,93.3125,89.0,93.25,23095600
2000-01-27,76.3111343383789,90.5625,92.5,87.625,91.75,30739200
2000-01-28,72.46662139892578,86.0,90.46875,84.75,90.0,35313800
2000-01-31,75.57384490966797,89.6875,90.0,83.5,85.875,36014600
2000-02-01,77.6014404296875,92.09375,92.5,88.4375,89.53125,26417600
2000-02-02,78.25971221923828,92.875,94.71875,92.09375,92.25,26169200
2000-02-03,81.31427001953125,96.5,96.625,92.28125,94.3125,30579800
2000-02-04,81.8672866821289,97.15625,98.2421875,96.21875,97.0,26640000
2000-02-07,82.99958801269531,98.5,98.625,96.25,97.25,17761000
2000-02-08,86.47541809082031,102.625,102.875,99.375,99.375,21999400
2000-02-09,83.42086791992188,99.0,102.1953125,98.75,102.0625,27258200
2000-02-10,86.15945434570312,102.25,102.25,98.5546875,99.8125,26341600
2000-02-11,84.15817260742188,99.875,102.0625,98.0,102.0625,24876000
2000-02-14,84.05284118652344,99.75,100.0,97.75,99.9921875,22814600
2000-02-15,84.65845489501953,100.46875,100.625,95.875,98.9375,30572800
2000-02-16,84.26348114013672,100.0,101.6875,99.3125,99.90625,25310600
2000-02-17,86.05410766601562,102.125,103.25,99.625,101.1875,30080200
2000-02-18,82.9469223022461,98.4375,103.0,98.4375,102.625,25271200
2000-02-22,83.21025085449219,98.75,99.9375,96.25,99.0,37226200
2000-02-23,87.84468841552734,104.25,105.0,99.15625,99.6796875,32170800
2000-02-24,89.74063110351562,106.5,106.8046875,102.0,104.875,48868200
2000-02-25,87.68672180175781,104.0625,107.5,103.875,106.1875,32617600
2000-02-28,87.634033203125,104.0,105.6875,100.5,103.25,38216200
2000-02-29,89.95127868652344,106.75,107.09375,104.9375,105.75,23978600
2000-03-01,90.6885986328125,107.625,108.5625,106.5,107.25,24468400
2000-03-02,88.58856964111328,105.1328125,108.1875,104.75,108.0625,32739200
2000-03-03,93.58512878417969,111.0625,111.125,107.0,108.0,32017200
2000-03-06,94.3224868774414,111.9375,113.21875,110.25,111.75,23268400
2000-03-07,92.90052795410156,110.25,113.875,108.75,113.8125,39471000
2000-03-08,93.7431640625,111.25,112.0,106.28125,111.0,43512600
2000-03-09,96.90303802490234,115.0,115.5,109.09375,111.21875,30101400
2000-03-10,96.48169708251953,114.5,116.4375,113.5078125,114.875,29750600
