Date,signal,pos,held,turnover,gross,net
2000-01-03,,0.0,0.0,0.0,0.0,0.0
2000-01-04,,0.0,0.0,0.0,-0.0,-0.0
2000-01-05,,0.0,0.0,0.0,0.0,0.0
2000-01-06,,0.0,0.0,0.0,0.0,0.0
2000-01-07,,0.0,0.0,0.0,-0.0,-0.0
2000-01-10,,0.0,0.0,0.0,-0.0,-0.0
2000-01-11,,0.0,0.0,0.0,0.0,0.0
2000-01-12,,0.0,0.0,0.0,-0.0,-0.0
2000-01-13,,0.0,0.0,0.0,0.0,0.0
2000-01-14,,0.0,0.0,0.0,-0.0,-0.0
2000-01-18,,0.0,0.0,0.0,0.0,0.0
2000-01-19,,0.0,0.0,0.0,0.0,0.0
2000-01-20,,0.0,0.0,0.0,-0.0,-0.0
2000-01-21,,0.0,0.0,0.0,0.0,0.0
2000-01-24,,0.0,0.0,0.0,-0.0,-0.0
2000-01-25,,0.0,0.0,0.0,-0.0,-0.0
2000-01-26,,0.0,0.0,0.0,-0.0,-0.0
2000-01-27,,0.0,0.0,0.0,-0.0,-0.0
2000-01-28,,0.0,0.0,0.0,-0.0,-0.0
2000-01-31,,0.0,0.0,0.0,0.0,0.0
2000-02-01,,0.0,0.0,0.0,0.0,0.0
2000-02-02,,0.0,0.0,0.0,0.0,0.0
2000-02-03,,0.0,0.0,0.0,-0.0,-0.0
2000-02-04,,0.0,0.0,0.0,-0.0,-0.0
2000-02-07,,0.0,0.0,0.0,-0.0,-0.0
2000-02-08,,0.0,0.0,0.0,-0.0,-0.0
2000-02-09,,0.0,0.0,0.0,-0.0,-0.0
2000-02-10,,0.0,0.0,0.0,-0.0,-0.0
2000-02-11,,0.0,0.0,0.0,-0.0,-0.0
2000-02-14,,0.0,0.0,0.0,0.0,0.0
2000-02-15,,0.0,0.0,0.0,0.0,0.0
2000-02-16,,0.0,0.0,0.0,0.0,0.0
2000-02-17,,0.0,0.0,0.0,-0.0,-0.0
2000-02-18,,0.0,0.0,0.0,-0.0,-0.0
2000-02-22,,0.0,0.0,0.0,0.0,0.0
2000-02-23,,0.0,0.0,0.0,-0.0,-0.0
2000-02-24,,0.0,0.0,0.0,-0.0,-0.0
2000-02-25,,0.0,0.0,0.0,-0.0,-0.0
2000-02-28,,0.0,0.0,0.0,0.0,0.0
2000-02-29,,0.0,0.0,0.0,0.0,0.0
2000-03-01,,0.0,0.0,0.0,0.0,0.0
2000-03-02,,0.0,0.0,0.0,0.0,0.0
2000-03-03,,0.0,0.0,0.0,-0.0,-0.0
2000-03-06,,0.0,0.0,0.0,-0.0,-0.0
2000-03-07,,0.0,0.0,0.0,0.0,0.0
2000-03-08,,0.0,0.0,0.0,-0.0,-0.0
2000-03-09,,0.0,0.0,0.0,0.0,0.0
2000-03-10,,0.0,0.0,0.0,-0.0,-0.0
2000-03-13,,0.0,0.0,0.0,-0.0,-0.0
2000-03-14,,0.0,0.0,0.0,0.0,0.0
2000-03-15,,0.0,0.0,0.0,0.0,0.0
2000-03-16,,0.0,0.0,0.0,0.0,0.0
2000-03-17,,0.0,0.0,0.0,-0.0,-0.0
2000-03-20,,0.0,0.0,0.0,-0.0,-0.0
2000-03-21,,0.0,0.0,0.0,0.0,0.0
2000-03-22,,0.0,0.0,0.0,-0.0,-0.0
2000-03-23,,0.0,0.0,0.0,0.0,0.0
2000-03-24,,0.0,0.0,0.0,0.0,0.0
2000-03-27,,0.0,0.0,0.0,-0.0,-0.0
2000-03-28,,0.0,0.0,0.0,0.0,0.0
2000-03-29,,0.0,0.0,0.0,0.0,0.0
2000-03-30,,0.0,0.0,0.0,-0.0,-0.0
2000-03-31,,0.0,0.0,0.0,-0.0,-0.0
2000-04-03,,0.0,0.0,0.0,0.0,0.0
2000-04-04,,0.0,0.0,0.0,0.0,0.0
2000-04-05,,0.0,0.0,0.0,-0.0,-0.0
2000-04-06,,0.0,0.0,0.0,0.0,0.0
2000-04-07,,0.0,0.0,0.0,-0.0,-0.0
2000-04-10,,0.0,0.0,0.0,-0.0,-0.0
2000-04-11,,0.0,0.0,0.0,0.0,0.0
2000-04-12,,0.0,0.0,0.0,0.0,0.0
2000-04-13,,0.0,0.0,0.0,0.0,0.0
2000-04-14,,0.0,0.0,0.0,-0.0,-0.0
2000-04-17,,0.0,0.0,0.0,-0.0,-0.0
2000-04-18,,0.0,0.0,0.0,0.0,0.0
2000-04-19,,0.0,0.0,0.0,0.0,0.0
2000-04-20,,0.0,0.0,0.0,0.0,0.0
2000-04-24,,0.0,0.0,0.0,0.0,0.0
2000-04-25,,0.0,0.0,0.0,0.0,0.0
2000-04-26,,0.0,0.0,0.0,-0.0,-0.0
2000-04-27,,0.0,0.0,0.0,0.0,0.0
2000-04-28,,0.0,0.0,0.0,-0.0,-0.0
2000-05-01,,0.0,0.0,0.0,0.0,0.0
2000-05-02,,0.0,0.0,0.0,0.0,0.0
2000-05-03,,0.0,0.0,0.0,-0.0,-0.0
2000-05-04,,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.0981453507809901,0.0981453507809901,0.0,0.0,0.0,0.0
2000-05-08,0.12803374503268997,0.12803374503268997,0.0,0.0,0.0,0.0
2000-05-09,0.11505937185674998,0.11505937185674998,0.0981453507809901,0.0981453507809901,-0.0012200749685544962,-0.0012691476439449913
2000-05-10,0.2373422838075433,0.2373422838075433,0.12803374503268997,0.029888394251699868,0.0033242869247796267,0.003309342727653777
2000-05-11,0.49156152253836216,0.49156152253836216,0.11505937185674998,0.012974373175939982,0.0026649288543583774,0.0026584416677704076
2000-05-12,0.46505931627525765,0.46505931627525765,0.2373422838075433,0.12228291195079331,-0.002593466489712269,-0.0026546079456876656
2000-05-15,0.6433728775168385,0.6433728775168385,0.49156152253836216,0.25421923873081886,0.009550534925828432,0.009423425306463023
2000-05-16,0.6746607322459026,0.6746607322459026,0.46505931627525765,0.02650220626310451,-0.0020855699318037047,-0.002098821034935257
2000-05-17,0.5286913204263337,0.5286913204263337,0.6433728775168385,0.17831356124158082,-0.014490418127090844,-0.014579574907711635
2000-05-18,0.4210745658909657,0.4210745658909657,0.6746607322459026,0.031287854729064146,0.0006478170529589322,0.0006321731255944002
2000-05-19,0.3659630713087361,0.3659630713087361,0.5286913204263337,0.1459694118195689,0.0019270363948062355,0.001854051688896451
